Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
1400136,2014,12/31/2014,East Haven,14 CORTINA DR,158040.00,220000.00,0.718363636,Single Family,Single Family,,,,POINT (-72.83703 41.33756)
190250,2019,05/05/2020,Simsbury,70 HOLCOMB STREET,227670.00,389900.00,0.5839,Single Family,Single Family,,,,
20155,2002,11/26/2002,New Milford,13 TERRACE PL CONDO,29750.00,57000.00,0.521929825,,,,,,
20336,2002,11/15/2002,Stamford,13 FARM HL RD,357980.00,855000.00,0.418690058,,,,,,
10701,2001,05/17/2002,New Britain,257 TREMONT ST,58040.00,125000.00,0.46432,,,,,,
180034,2018,11/28/2018,Bloomfield,14 GARRISON TERR,117740.00,160000.00,0.7358,Single Family,Single Family,,,,
190894,2019,07/28/2020,New Haven,"93 WARD ST, 153 BUTLER ST",168350.00,240000.00,0.7015,Two Family,Two Family,,INCLUDES SINGLE FAMILY ON  153 BUTLER ST,,
60507,2006,09/04/2007,Trumbull,106 COLONY AVE,311700.00,400000.00,0.77925,Single Family,Single Family,,,,
20478,2002,02/26/2003,Fairfield,245 UNQUOWA RD 133,184030.00,295000.00,0.623830508,,,,,,
80078,2008,12/11/2008,Groton,70 WHITTAKER LA,72030.00,129000.00,0.558372093,,,,,,
20459,2020,02/26/2021,Hartford,138 SOUTH ST,62930.00,311200.00,0.2022,Residential,Three Family,,,,
40603,2004,04/13/2005,Fairfield,109-111 KINGS HWY,138880.00,399900.00,0.347286822,,,,,,
50518,2005,11/28/2005,Suffield,13 PEBBLESTONE CIR,103670.00,169900.00,0.61018246,,,,,,
120136,2012,06/04/2013,Wolcott,5 FRANCES DR,115000.00,166460.00,0.690856662,Single Family,Single Family,08 - Part Interest,SALE OF 1/2 INTEREST ONLY,,
150076,2015,03/18/2016,Woodstock,492 RT 197,176050.00,257000.00,0.685019455,Single Family,Single Family,28 - Use Assessment,,,
12071,2012,12/28/2012,Bloomfield,240 WOODLAND AVE,128450.00,163000.00,0.78803681,Single Family,Single Family,,,,
10346,2001,07/23/2002,Watertown,2443 LITCHFIELD RD,65660.00,140000.00,0.469,,,,,,
90207,2009,07/30/2010,Brookfield,16 WHISCONIER VILLAGE,175260.00,140000.00,1.251857143,Condo,Condo,14 - Foreclosure,foreclosure,,
30788,2003,01/09/2004,Stamford,219 COLD SPG RD,118090.00,395000.00,0.298962025,,,,,,
30884,2003,04/12/2004,Hartford,92 WESTLAND ST,59080.00,67500.00,0.875259259,,,14,,,
110785,2011,03/26/2012,Meriden,60 LYMAN AVE,116970.00,100500.00,1.163880597,Single Family,Single Family,14 - Foreclosure,,,
2000675,2020,08/09/2021,Naugatuck,33 HIGHLAND AVE,91540.00,270000.00,0.339,Residential,Two Family,,,,
70061,2007,11/13/2007,Windsor,5 PLUM RIDGE,245280.00,285000.00,0.860631579,Single Family,Single Family,14 - Foreclosure,,,POINT (-72.64461 41.88261)
20549,2002,04/29/2003,Torrington,62 RED MTN AVE,42400.00,60000.00,0.706666667,,,,,,
143101,2014,12/17/2014,Killingworth,17 BEECHWOOD ROAD,74650.00,122500.00,0.609387755,Single Family,Single Family,,,,
90202,2009,09/29/2010,Monroe,66 HEATHER RD,427910.00,580000.00,0.737775862,Single Family,Single Family,,,,
140047,2014,11/17/2014,South Windsor,22J AMATO DR,74600.00,120000.00,0.621666667,Condo,Condo,,,,
90101,2009,11/03/2009,West Hartford,106 HUNTER DR,389100.00,490000.00,0.794081633,Single Family,Single Family,25 - Other,relocation co,,
20361,2002,05/22/2003,Vernon,39 ORCHARD ST,61190.00,122000.00,0.501557377,,,,,,
50307,2005,06/05/2006,Plainville,190 TOMLINSON AVE UT 11C,61500.00,179500.00,0.342618384,,,,,,
13162,2013,11/04/2013,Ridgefield,30 LYNN PL,471130.00,735000.00,0.640993197,Single Family,Single Family,,,,
40214,2004,12/10/2004,New Milford,117 BEARD DR,86800.00,185000.00,0.469189189,,,,,,
90344,2009,03/25/2010,Greenwich,"23 HAWTHORNE STREET SOUTH, GRE",416500.00,280000.00,1.4875,Two Family,Two Family,08 - Part Interest,09-1850/s non-useable code 08/ purchased 50% interest,,
42741,2004,07/13/2005,Waterbury,31 GAYLORD GLN,221900.00,500000.00,0.4438,,,,,,
31085,2003,03/04/2004,Stamford,HOBBIE ST,190260.00,550000.00,0.345927273,,,,,,
900512,2009,06/03/2010,East Hartford,39 FARM DRIVE,155970.00,188000.00,0.82962766,Single Family,Single Family,,,,
100102,2010,06/15/2011,Griswold,40 RILLBROOK RD,52220.00,254900.00,0.204864653,Single Family,Single Family,08 - Part Interest,New Construction,,
180215,2018,08/05/2019,Coventry,504 BUNKER HILL RD,124900.00,115000.00,1.086086957,Single Family,Single Family,25 - Other,,SHORT SALE PER MLS,
60626,2006,05/01/2007,Greenwich,5 COMLY TER,363720.00,1450000.00,0.250841379,,,07 - Change in Property,,,
60058,2006,07/02/2007,Sharon,15 CAULKINSTOWN RD,171200.00,292500.00,0.585299145,Single Family,Single Family,,,,
149444,2014,08/07/2015,Groton,2-4 OAKLAND CT,94290.00,139900.00,0.673981415,Two Family,Two Family,,DIDN'T SELL THRU MLS. SENDING SALES QUESTIONNAIRE,,
190554,2019,09/17/2020,Southbury,163 BAGLEY RD,318550.00,415000.00,0.7676,Two Family,Two Family,,,,
149541,2014,08/24/2015,Groton,535 NOANK LEDYARD RD,192010.00,270000.00,0.711148148,Single Family,Single Family,,,,
10161,2001,04/29/2002,Stafford,8 SOUTH RD,1708970.00,2500.00,683.588,,,8,,,
10175,2001,01/02/2002,Wethersfield,308-310 PROSPECT ST,135700.00,180000.00,0.753888889,,,,,,
51503,2005,07/10/2006,Norwalk,25 PUTNAM AVE,427210.00,615000.00,0.694650407,,,,,,
70293,2007,11/16/2007,Bridgeport,49 WHITE ST,126350.00,300000.00,0.421166667,,,,,,
140341,2014,05/28/2015,West Haven,79 CLAUDIA DR #152,26810.00,33000.00,0.812424242,Condo,Condo,,,,POINT (-72.97415 41.27251)
14043,2014,06/30/2015,Barkhamsted,123 RATLUM RD,159070.00,285000.00,0.558140351,Single Family,Single Family,,1965 CAPE ON 1.35 AC,,
60401,2006,09/19/2007,New Canaan,165 WEEBURN DR,678900.00,500000.00,1.3578,Single Family,Single Family,08 - Part Interest,,,
190149,2019,01/17/2020,Vernon,84 CAMPBELL AVE,130800.00,142290.00,0.9192,Single Family,Single Family,25 - Other,ESTATE,,
160772,2016,09/26/2017,Wallingford,26 CELESTIAL LN,279700.00,385500.00,0.725551232,Single Family,Single Family,,,,
30066,2003,01/26/2004,Westbrook,56 SECOND AVE,200080.00,75000.00,2.667733333,,,1,,,
190082,2019,11/01/2019,Norwich,12 TOWER HILL RD,170000.00,220000.00,0.7727,Single Family,Single Family,,,,
60881,2006,05/30/2007,Danbury,12 TIFFANY DR,289800.00,595000.00,0.487058824,Single Family,Single Family,,,,POINT (-73.52796 41.40541)
90001,2009,10/01/2009,Ellington,135 WEST SHORE RD,191670.00,339900.00,0.563901147,Single Family,Single Family,,,,
20027,2002,10/10/2002,East Haven,545 STRONG ST,83950.00,174000.00,0.482471264,,,,,,
30251,2003,08/31/2004,Old Lyme,3 APPLE TREE DR,112700.00,265000.00,0.425283019,,,,,,
150822,2015,02/23/2016,Norwalk,12 SUBURBAN DR,318330.00,537000.00,0.592793296,Single Family,Single Family,,,,
10104,2001,01/10/2002,Plainville,36 FORSHAW AVE,70200.00,127000.00,0.552755906,,,,,,
10303,2001,04/30/2002,Cheshire,115 COPPER BEECH DR,268140.00,495000.00,0.54169697,,,,,,
50060,2005,11/01/2005,Windsor,335A DUNFEY LN,54320.00,99000.00,0.548686869,,,,,,
40013,2004,10/12/2004,Wilton,41 QUAIL RDG,606480.00,1260121.00,0.481287114,,,,,,
1900583,2019,01/30/2020,Stamford,688 ATLANTIC STREET,575540.00,375000.00,1.5348,,,08 - Part Interest,50% INTEREST SOLD / CONVEY EXEMPT CODE 13 - ENTERPRISE ZONE,,
160678,2016,06/01/2017,New Britain,91 COMMONWEALTH AVE,91980.00,130000.00,0.707538462,Single Family,Single Family,,,,
160204,2016,01/06/2017,Fairfield,55 MAILANDS ROAD,656530.00,830000.00,0.791,Single Family,Single Family,,,,
110712,2011,05/21/2012,Stamford,9 DUNDEE ROAD,609590.00,730000.00,0.835054795,Single Family,Single Family,,,,
100466,2010,02/23/2011,Waterbury,122 WYOMING AVE,94350.00,42500.00,2.22,Single Family,Single Family,14 - Foreclosure,,,
180223,2018,12/11/2018,Bristol,92 HARRISON ST,123830.00,10000.00,12.383,Three Family,Three Family,25 - Other,REHAB DEFERRED,,
11614,2001,07/19/2002,Danbury,65 CROSS ST,30500.00,245350.00,0.124312207,,,7,,,
80373,2008,09/08/2009,Groton,271 PLANT ST,191520.00,230000.00,0.832695652,Single Family,Single Family,,,,
180119,2018,11/27/2018,Southington,1048-20 SOUTH MAIN ST,172330.00,224000.00,0.7693,Condo,Condo,,,,
180085,2018,10/15/2018,Bridgeport,260-262 LENOX AVE,171890.00,236000.00,0.7283,Two Family,Two Family,,,,
190203,2019,02/04/2020,South Windsor,118 FRAZER FIR RD,463400.00,660000.00,0.7021,Single Family,Single Family,,,,
50457,2005,09/25/2006,Waterford,310 BOSTON POST RD 130,103250.00,220000.00,0.469318182,,,,,,
10291,2001,08/22/2002,Coventry,107 LAKEWOOD DR,83160.00,149900.00,0.554769847,,,,,,
170187,2017,08/13/2018,Old Lyme,7 ROGERS LAKE TRL,269200.00,290000.00,0.9282,Single Family,Single Family,,,,POINT (-72.30291 41.35126)
110432,2011,02/09/2012,Waterbury,247 CIRCULAR AVE,110910.00,118000.00,0.939915254,Single Family,Single Family,,,,POINT (-73.00376 41.54973)
201200,2020,08/19/2021,Bristol,100 HARRISON ST,117810.00,325000.00,0.362492308,Residential,Three Family,,,GOOD SALE PER MLS,POINT (-72.93203 41.67567)
40469,2004,12/20/2004,Hartford,45 HARRISON PL,51590.00,145000.00,0.355793103,,,,,,
120150,2012,03/05/2013,New Milford,4 HAYFIELD RD,256620.00,362500.00,0.707917241,Single Family,Single Family,,,,
80282,2008,05/04/2009,Fairfield,506 SASCO HILL ROAD,1717240.00,2250000.00,0.763217778,Single Family,Single Family,,,,
170102,2017,12/13/2017,Naugatuck,200 TAWNEY THRUSH ROAD,119820.00,190000.00,0.6306,Single Family,Single Family,25 - Other,ESTATE SALE,,
60446,2006,09/17/2007,Guilford,11 LONG HL FARMS,256520.00,415000.00,0.618120482,Single Family,Single Family,,,,
60560,2006,03/27/2007,New Britain,98 JACKSON ST,79660.00,105000.00,0.758666667,Single Family,Single Family,,,,
80097,2008,04/28/2009,Plainville,33 ORRIN AVE,112350.00,153500.00,0.731921824,Single Family,Single Family,,,,
140041,2014,02/11/2015,Litchfield,16 HIGHMARK RD,592960.00,700000.00,0.847085714,Single Family,Single Family,,,,
150905,2015,08/02/2016,West Hartford,46 GALLAUDET DRIVE,189840.00,276500.00,0.686582278,Single Family,Single Family,,,,
1901760,2019,09/18/2020,Stamford,13 SUNSET STREET,297210.00,565000.00,0.526,Single Family,Single Family,,,,
20220,2020,12/08/2020,Hartford,44 FRANKLIN AVE,47985.00,255000.00,0.1881,Residential,Three Family,,,,
90045,2009,08/19/2010,Chester,17A WIG HILL ROAD,262430.00,309590.00,0.847669498,Single Family,Single Family,,,,
160859,2016,07/25/2017,West Haven,764 WASHINGTON AVE,75390.00,99999.00,0.753907539,Single Family,Single Family,,,,
150464,2015,04/14/2016,Meriden,203 OVERLOOK POINT,81410.00,95000.00,0.856947368,Condo,Condo,,,,
160067,2016,10/26/2016,Greenwich,45 BIRCHWOOD DR,2963100.00,3800000.00,0.779763158,Single Family,Single Family,,,,
20185,2020,02/08/2021,Watertown,101 FARVIEW CIRCLE,175100.00,458610.00,0.3818,Residential,Single Family,03 - Inter Corporation,,,POINT (-73.1548 41.63072)
20195,2002,08/28/2003,Woodbridge,2 OLD MILL RD,216860.00,375000.00,0.578293333,,,,,,
140305,2014,03/17/2015,Killingly,11 TAOS DR,80150.00,143500.00,0.558536585,Single Family,Single Family,25 - Other,CONVEYANCE EXEMPT UNDER CODE 12,,
140046,2014,10/14/2014,Trumbull,4 PLEASANT STREET,186800.00,305000.00,0.612459016,Single Family,Single Family,,,,
140134,2014,12/20/2014,Westport,22 BLUE RIBBON DR,550900.00,2600000.00,0.211884615,Single Family,Single Family,07 - Change in Property,,,
10332,2001,09/17/2002,Stafford,304 EAST ST,92750.00,180000.00,0.515277778,,,,,,POINT (-72.27775 41.99298)
50694,2005,12/08/2005,Bridgeport,300 SUCCESS AVE,2738401.00,105000.00,26.08000952,,,6,,,
200032,2020,11/16/2020,Woodstock,4 BILL HILL RD,121500.00,230340.00,0.5274,Residential,Single Family,25 - Other,APPROVED  NO-CONFORMING LOT SIZE,,
90231,2009,03/18/2010,Shelton,14 RUSHBROOKE LA,375830.00,507500.00,0.740551724,Condo,Condo,25 - Other,TWO SALES - ALSO SEE #90232,,
50499,2005,07/14/2006,South Windsor,8 DIGGINS CT,145990.00,306400.00,0.476468668,,,21,,,
10030,2001,12/13/2001,Pomfret,137 COVELL RD,0.00,151000.00,0,,,1,,,
40016,2004,11/02/2004,Beacon Falls,183 FELDSPAR AVE,100640.00,220000.00,0.457454545,,,,,,POINT (-73.05231 41.4377)
70198,2007,08/04/2008,Wolcott,67 KLAN DR,164090.00,252000.00,0.651150794,Single Family,Single Family,,,,POINT (-72.99377 41.60083)
190506,2019,05/05/2020,Hamden,56 HAWTHORNE AVE,160860.00,260000.00,0.6187,Two Family,Two Family,,,,
190022,2019,10/18/2019,Stonington,87 PALMER NECK RD,413100.00,650000.00,0.6355,Single Family,Single Family,,,,
40687,2004,12/02/2004,Bridgeport,231 3 NORMAN ST,92190.00,155000.00,0.594774194,,,,,,
50697,2005,01/25/2006,Waterbury,63 NATIONAL AVE,108080.00,280000.00,0.386,,,,,,
19036,2019,11/22/2019,Orange,570 TREAT LA,256800.00,412500.00,0.6225,Single Family,Single Family,,,,
50004,2005,10/13/2005,Salem,103G HORSE POND RD,19550.00,62500.00,0.3128,,,,,,POINT (-72.24293 41.4641)
52170,2005,06/30/2006,Danbury,118 ROSE HL AVE,188900.00,313000.00,0.603514377,,,,,,
22050,2002,09/26/2003,New Haven,13 EMERSON ST,82460.00,106000.00,0.777924528,,,,,,
70235,2007,01/09/2008,Manchester,48 BOLTON ST,127300.00,188900.00,0.673901535,Single Family,Single Family,,,,
70024,2007,01/22/2008,Essex,27 NORTH MAIN ST #4,177300.00,280000.00,0.633214286,Condo,Condo,,,,
10636,2010,08/24/2011,Milford,49 ELGIN ROAD,258460.00,205750.00,1.25618469,Single Family,Single Family,14 - Foreclosure,,,
20118,2002,11/25/2002,Newington,18 MARVIS ST,76230.00,115000.00,0.662869565,,,,,,POINT (-72.72132 41.70036)
150222,2015,05/04/2016,Waterford,77 SHORE RD,100980.00,155000.00,0.651483871,,,01 - Family,family sale,,
70692,2007,07/11/2008,Hartford,28 GARDEN ST,114506.00,500000.00,0.229012,,,,,,POINT (-72.68449 41.76888)
20193,2020,02/08/2021,Bethel,37 SOUTH CROSSING WAY,331419.00,622302.00,0.5325,Residential,Single Family,07 - Change in Property,,,POINT (-73.40414 41.37785)
50037,2005,10/31/2005,Bloomfield,9 LINDEN CT,116650.00,191001.00,0.610729787,,,,,,
141074,2014,07/31/2015,Shelton,368 ASPETUCK TRAIL,186620.00,320000.00,0.5831875,Condo,Condo,,ASPETUCK VILLAGE CONDO,,
1910093,2019,11/26/2019,Naugatuck,61 LOCUST STREET,109970.00,180000.00,0.6109,Single Family,Single Family,,ARMS LENGTH SALE,,
20113,2002,01/24/2003,Watertown,171 LEDGEWOOD RD,133350.00,279900.00,0.47642015,,,,,,POINT (-73.13385 41.63085)
200875,2020,04/19/2021,Greenwich,27 SKYLARK ROAD,796320.00,995000.00,0.8003,Residential,Single Family,25 - Other,TEAR DOWN PURCHASE,,POINT (-73.63113 41.03741)
160173,2016,07/24/2017,Winchester,171 ELM ST,74130.00,132900.00,0.55778781,Single Family,Single Family,,,,
180067,2018,02/25/2019,Portland,MIDDLESEX AVE,77420.00,300000.00,0.258,,,,028-0054 AKA 311 BROWNSTONE AVE,,
14391,2014,04/09/2015,Hartford,30 WOODLAND ST UNIT 3F,19022.00,40000.00,0.47555,Condo,Condo,25 - Other,Motivated Seller Below market,,
170164,2017,03/05/2018,Madison,18 THELBRIDGE ST,191300.00,282000.00,0.6783,Condo,Condo,25 - Other,assignment of leasehold,,POINT (-72.5507 41.27666)
30013,2003,10/06/2003,Colchester,40 CARLI BLVD,126000.00,173000.00,0.728323699,,,14,,,
160045,2016,05/15/2017,Pomfret,529 TAFT POND RD,193700.00,325000.00,0.596,Single Family,Single Family,,,,
60009,2006,10/02/2006,Bristol,36 GARFIELD RD,79300.00,186000.00,0.426344086,Single Family,Single Family,,,,
10254,2010,05/12/2011,Southington,282 WOODLOT PATH,168770.00,195000.00,0.865487179,Condo,Condo,,,,
50479,2005,12/28/2005,Danbury,15 SPRINGSIDE AVE,121700.00,335000.00,0.363283582,,,,,,
20200006,2020,10/19/2020,Sharon,4 UPPER MAIN ST UNIT 8,122400.00,230000.00,0.5321,Residential,Condo,,,,
150048,2015,12/22/2015,Old Lyme,16 WYCHWOOD RD,226100.00,370000.00,0.611081081,Single Family,Single Family,,,,
160595,2016,05/02/2017,Danbury,301 LARSON DR,211300.00,280000.00,0.754642857,Condo,Condo,,C15019-15,,POINT (-73.51055 41.387)
130403,2013,01/14/2014,Waterbury,1159 HIGHLAND AVE #19B,85880.00,119000.00,0.721680672,Condo,Condo,,,,
31009,2003,09/29/2004,Wallingford,142 EAST ST,86000.00,270000.00,0.318518519,,,,,,
40814,2004,07/29/2005,Westport,57 NORTH AVE,615300.00,1170000.00,0.525897436,,,3,,,POINT (-73.32946 41.15113)
140594,2014,03/10/2015,Norwalk,28 NEPTUNE AVE,184560.00,195000.00,0.946461538,Single Family,Single Family,14 - Foreclosure,,,
12234,2012,05/23/2013,West Haven,155 BULL HILL LA #207,38290.00,56000.00,0.68375,Condo,Condo,,,,
40014,2004,10/13/2004,Plymouth,103 MAIN ST,139020.00,250000.00,0.55608,,,,,,
190176,2019,07/20/2020,Windsor Locks,59 CHAPMAN CHASE,181790.00,280000.00,0.6493,Condo,Condo,,,,
140358,2014,08/28/2015,Stonington,160 LONG WHARF RD,316700.00,500000.00,0.6334,Single Family,Single Family,,,,POINT (-71.94521 41.34792)
10067,2010,06/20/2011,Derby,70 MARSHALL LN,144480.00,132000.00,1.094545455,Single Family,Single Family,,,,
13445,2013,09/18/2014,Ridgefield,120 BEAVER BROOK RD,579690.00,830000.00,0.698421687,Single Family,Single Family,,,,
52382,2005,08/14/2006,Danbury,15 SCUPPO RD UT 1401,17500.00,336900.00,0.051944197,,,7,,,POINT (-73.48209 41.39251)
10299,2010,12/16/2010,Bridgeport,183-185 WORDIN AVENUE,147930.00,138000.00,1.071956522,Three Family,Three Family,25 - Other,SOLD BELOW MARKET VALUE,,POINT (-73.20425 41.16929)
50726,2005,06/22/2006,Norwich,30 ROYAL OAKS DR,154000.00,335900.00,0.458469783,,,,,,
30279,2003,02/25/2004,East Haven,75 SALTONSTALL PKY 17A,42000.00,110000.00,0.381818182,,,,,,POINT (-72.86109 41.27751)
80239,2008,04/28/2009,Glastonbury,11 RAMBLING BROOK DR 1-A-4,93300.00,140000.00,0.666428571,Condo,Condo,,,,
190160,2019,04/27/2020,Windham,473 NO WINDHAM RD,89840.00,170000.00,0.5285,Single Family,Single Family,,,,POINT (-72.19048 41.70167)
80018,2008,11/17/2008,Winchester,39 E LAKE ST,367220.00,555000.00,0.661657658,Single Family,Single Family,,waterfront property,,
13026,2013,11/22/2013,Mansfield,37 STORRS HEIGHTS RD,217420.00,185000.00,1.175243243,Single Family,Single Family,25 - Other,SALE BY BANK (SANTANDER) TO PRIVATE OWNER,,
40038,2004,10/29/2004,Guilford,91 LONG HL FARMS,335900.00,576000.00,0.583159722,,,,,,
200498,2020,01/29/2021,Manchester,513 LYDALL STREET,154600.00,395000.00,0.3913,Residential,Single Family,,,,
190071,2019,06/24/2020,East Granby,100 SOUTH MAIN STREET,262900.00,410000.00,0.6412,Single Family,Single Family,,,,
200004,2020,10/01/2020,Stonington,59 SUNRISE AVE,169000.00,320000.00,0.5281,Residential,Single Family,,,,
160584,2016,05/01/2017,Danbury,11 MENDES RD,200600.00,340000.00,0.59,Single Family,Single Family,,G05030,,POINT (-73.46839 41.44462)
110805,2011,07/16/2012,New Haven,436 FRONT STREET,66360.00,98000.00,0.677142857,Two Family,Two Family,,,,
40202,2004,04/22/2005,Ansonia,16 HODGE AVE,98500.00,243000.00,0.405349794,,,,,,
2020311,2020,08/16/2021,Ansonia,21 BEVERLY DR,108900.00,255000.00,0.427,Residential,Single Family,,,,
10219,2010,03/24/2011,Hamden,2600 DOWNES RD,339220.00,700000.00,0.4846,,,15 - Government Agency,Sale to the state of Connecticut,,
80085,2008,03/18/2009,Seymour,93 SKOKORAT STREET,187460.00,255000.00,0.735137255,Single Family,Single Family,,,,
50084,2005,10/27/2005,Torrington,33 CHESTNUT AVE,81700.00,191000.00,0.427748691,,,,,,POINT (-73.13461 41.80384)
130058,2013,10/29/2013,Shelton,18 ROLLING BROOK LANE,392560.00,563000.00,0.697264654,Single Family,Single Family,,,,
40541,2004,09/02/2005,Simsbury,5 E VIEW DR,200210.00,405000.00,0.494345679,,,,,,
30552,2003,09/14/2004,Killingly,60 FURNACE ST,66330.00,185000.00,0.358540541,,,7,,,
200729,2020,05/03/2021,West Hartford,100 KANE STREET #D03,80150.00,149500.00,0.536120401,Residential,Condo,25 - Other,SOLD AS IS,,POINT (-72.71765 41.75144)
20038,2002,10/08/2002,West Haven,484 FIRST AVE 9,42000.00,92500.00,0.454054054,,,,,,
19146,2019,09/30/2020,Haddam,1205 SAYBROOK RD,143760.00,240000.00,0.599,Single Family,Single Family,,,,
90057,2009,12/15/2009,Winchester,220 WALNUT ST,131600.00,85000.00,1.548235294,Single Family,Single Family,14 - Foreclosure,,,
191000,2019,08/04/2020,Fairfield,221 TUCKAHOE LANE,516880.00,843000.00,0.6131,Single Family,Single Family,07 - Change in Property,,,
20241,2002,05/21/2003,New Canaan,45 SHAGBARK DR,550340.00,800000.00,0.687925,,,,,,
201081,2020,08/19/2021,New Britain,410-5I FARMINGTON AVE,70140.00,168000.00,0.4175,Residential,Condo,,,,POINT (-72.78936 41.68895)
32119,2003,06/28/2004,Stamford,271 BUTTERNUT LN,276920.00,628500.00,0.440604614,,,,,,
100071,2010,11/01/2010,Danbury,151 SHELTER ROCK RD #18,171300.00,190000.00,0.901578947,Condo,Condo,,L14003-18,,
40824,2004,09/01/2005,Enfield,137 ELM ST,77840.00,190000.00,0.409684211,,,,,,
190127,2019,08/04/2020,Easton,98 DOGWOOD DRIVE,317060.00,440000.00,0.7206,Single Family,Single Family,,,,
800252,2008,09/21/2009,Windham,111 FRIENDSHIP ST,93380.00,152000.00,0.614342105,Single Family,Single Family,,,,
21108,2002,07/29/2003,West Hartford,56 BISHOP RD,130360.00,332000.00,0.392650602,,,,,,POINT (-72.73332 41.75992)
70656,2007,08/15/2008,East Hartford,103 PORTERBROOK AVE,93030.00,120000.00,0.77525,Single Family,Single Family,14 - Foreclosure,,,POINT (-72.62264 41.72851)
50374,2005,07/25/2006,Montville,135A WOODLAND DR,39280.00,134000.00,0.293134328,,,,,,
10003,2010,11/04/2010,Willington,91 PINNEY HILL RD,194200.00,250000.00,0.7768,Condo,Condo,,,,
52760,2005,07/17/2006,Bridgeport,95 HUNTINGTON TPKE,68779.00,174900.00,0.39324757,,,,,,
30572,2003,07/01/2004,Ridgefield,51 MAMANASCO RD,308950.00,589000.00,0.524533107,,,,,,
20409,2002,03/03/2003,Torrington,251 S MAIN ST,120900.00,80000.00,1.51125,,,25,,,
20562,2002,06/02/2003,Norwich,81 CEDAR ST,35900.00,77000.00,0.466233766,,,,,,
160967,2016,06/14/2017,Waterbury,141 LONG MEADOW DR,60800.00,52500.00,1.158095238,Single Family,Single Family,14 - Foreclosure,,,
12189,2012,08/12/2013,Colchester,39 COLCHESTER COMMONS,51000.00,53000.00,0.962264151,Single Family,Single Family,,,,POINT (-72.2846 41.58762)
91135,2009,07/23/2010,Stamford,77 HAVEMEYER LAND #16,622480.00,950000.00,0.655242105,Condo,Condo,,,,
1800327,2018,12/06/2018,Stamford,56 WARD LANE,390100.00,452000.00,0.863,Single Family,Single Family,,,,
31925,2003,06/07/2004,Stamford,2435 BEDFORD ST 21 9,173810.00,402000.00,0.432363184,,,,,,POINT (-73.54551 41.06952)
180418,2018,12/10/2018,Bridgeport,1015 CAPITOL AVE,73870.00,80000.00,0.9233,Single Family,Single Family,25 - Other,DISTRESS SALE,,
10177,2001,04/12/2002,Clinton,45 JEFFERSON CIR,100300.00,182000.00,0.551098901,,,,,,POINT (-72.5145 41.29679)
100469,2010,08/23/2011,Middletown,48 HIGHVIEW TERR,148970.00,195000.00,0.763948718,Single Family,Single Family,,,,
80156,2008,11/03/2008,Waterbury,55 REVERE ST,93560.00,109900.00,0.851319381,Single Family,Single Family,25 - Other,ESTATE SALE,,
30171,2003,06/07/2004,Hebron,26 ST RONAN RD,9240.00,13000.00,0.710769231,,,,,,
120383,2012,04/04/2013,West Hartford,779 PROSPECT AVENUE 3-301,110250.00,124000.00,0.889112903,Condo,Condo,,,,
10273,2001,07/02/2002,Ansonia,47 FIFTH ST,58520.00,40000.00,1.463,,,18,,,POINT (-73.0806 41.35346)
10330,2001,05/16/2002,Westport,60 HIGH PT RD,381700.00,600000.00,0.636166667,,,,,,
90864,2009,07/13/2010,New Haven,1 FRONT STREET UNIT 201,64540.00,128000.00,0.50421875,Condo,Condo,,,,
51129,2005,05/01/2006,New Haven,48 WOLCOTT ST,106680.00,372000.00,0.286774194,,,,,,POINT (-72.89687 41.30633)
151687,2015,11/12/2015,Norwalk,10 POWDER HORN RD,283950.00,425000.00,0.668117647,Single Family,Single Family,,,,
11287,2001,09/03/2002,Hamden,70 E GATE LN,59220.00,104000.00,0.569423077,,,,,,
50548,2005,08/01/2006,Farmington,53 HIGHWOOD RD,201010.00,470000.00,0.427680851,,,,,,
80087,2008,03/23/2009,Seymour,1 POPLAR DRIVE,172270.00,255000.00,0.675568627,Single Family,Single Family,,,,
190259,2019,06/15/2020,Guilford,580 TOWNERS SWAMP RD,262550.00,300000.00,0.8752,Single Family,Single Family,,,,
160268,2016,02/22/2017,Torrington,1058 LITCHFIELD ST,158490.00,2010000.00,0.078850746,Single Family,Single Family,07 - Change in Property,,,
40406,2004,12/06/2004,New Haven,51 BEER ST,82670.00,140000.00,0.5905,,,,,,
110238,2011,03/19/2012,Bristol,67 LEOMINSTER ROAD,201040.00,205000.00,0.980682927,Single Family,Single Family,,,,POINT (-72.93506 41.68468)
140047,2014,10/16/2014,Danbury,136-138 FRANKLIN ST EXT,219000.00,210000.00,1.042857143,Single Family,Single Family,,G12010,,
20220,2002,05/01/2003,New Canaan,183 MILL RD,585830.00,1185000.00,0.494371308,,,,,,
10370,2001,04/19/2002,Newtown,5 JACOBS LN,61220.00,170450.00,0.359166911,,,,,,
11131,2001,05/29/2002,Norwalk,12 BOULDER RD,165690.00,310000.00,0.534483871,,,,,,
40032,2004,10/07/2004,Middletown,546 MAIN ST,109060.00,217500.00,0.501425287,,,,,,
20183,2002,07/17/2003,Weston,22 BRIDGE RD,257320.00,10000.00,25.732,,,1,,,POINT (-73.33378 41.2063)
41102,2004,04/21/2005,Danbury,807 SIENNA DR,12600.00,344900.00,0.036532328,,,7,,,
